,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,3,0.24999996875000394,0.015122873317348066,5.8108108108108105,0.4325581395348837,2.497347580138278,5.8108108108108105,93,215,4.538461538461538,1,18.413953488372094
1,Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,4,2,0.33333327777778704,0.018987341712065373,9.1875,0.46258503401360546,3.8600340136054423,9.1875,68,147,3.05,2,9.156462585034014
2,Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,5,0.3333333111111126,0.03409090901342975,10.85,0.4423963133640553,4.516958525345622,10.85,96,217,2.7523809523809524,1,8.341013824884792
3,Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,10,7,0.17647057785467188,0.0389908255986449,13.833333333333334,0.5582329317269076,5.756626506024097,13.833333333333334,139,249,2.759493670886076,3,7.738955823293173
4,Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,0,1,-0.9999990000010001,0.007462686511472489,8.5,0.49019607843137253,3.596078431372549,8.5,25,51,2.8297872340425534,1,8.019607843137255
5,Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,3,0.24999996875000394,0.015122873317348066,5.8108108108108105,0.4325581395348837,2.497347580138278,5.8108108108108105,93,215,4.538461538461538,1,18.413953488372094
6,Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,4,2,0.33333327777778704,0.018987341712065373,9.1875,0.46258503401360546,3.8600340136054423,9.1875,68,147,3.05,2,9.156462585034014
7,Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,5,0.3333333111111126,0.03409090901342975,10.85,0.4423963133640553,4.516958525345622,10.85,96,217,2.7523809523809524,1,8.341013824884792
8,Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,10,7,0.17647057785467188,0.0389908255986449,13.833333333333334,0.5582329317269076,5.756626506024097,13.833333333333334,139,249,2.759493670886076,3,7.738955823293173
9,Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,4,2,0.33333327777778704,0.01694915249449392,8.25,0.503030303030303,3.501212121212122,8.25,83,165,3.096774193548387,1,9.127272727272727
10,Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,11,3,0.5714285306122479,0.033734939677747135,11.722222222222221,0.5450236966824644,4.906898367561875,11.722222222222221,115,211,3.045,1,8.76777251184834
11,Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,8,3,0.4545454132231443,0.030985915405673477,12.714285714285714,0.5786516853932584,5.31717495987159,12.714285714285714,103,178,3.1098265895953756,2,9.129213483146067
